sensorid,time,pm1
CU-S0004,04-05-18,7.273902439
CU-S0004,05-05-18,10.11195804
CU-S0004,06-05-18,13.44730539
CU-S0004,07-05-18,22.25647922
CU-S0004,08-05-18,28.33860627
CU-S0004,09-05-18,33.57158451
CU-S0004,10-05-18,22.08845614
CU-S0004,11-05-18,17.81143357
CU-S0004,12-05-18,16.92619048
CU-S0004,13-05-18,
CU-S0004,14-05-18,
CU-S0004,15-05-18,
CU-S0004,16-05-18,
CU-S0004,17-05-18,
CU-S0004,18-05-18,
CU-S0004,19-05-18,
CU-S0004,20-05-18,
CU-S0004,21-05-18,
CU-S0004,22-05-18,
CU-S0004,23-05-18,
CU-S0004,24-05-18,
CU-S0004,25-05-18,
CU-S0004,26-05-18,
CU-S0004,27-05-18,
CU-S0004,28-05-18,
CU-S0004,29-05-18,
CU-S0004,30-05-18,
CU-S0004,31-05-18,
CU-S0004,01-06-18,
CU-S0004,02-06-18,
CU-S0004,03-06-18,
CU-S0004,04-06-18,
CU-S0004,05-06-18,
CU-S0004,06-06-18,
CU-S0004,07-06-18,
CU-S0004,08-06-18,
CU-S0004,09-06-18,
CU-S0004,10-06-18,
CU-S0004,11-06-18,
CU-S0004,12-06-18,
CU-S0004,13-06-18,
CU-S0004,14-06-18,
CU-S0004,15-06-18,
CU-S0004,16-06-18,
CU-S0004,17-06-18,
CU-S0004,18-06-18,
CU-S0004,19-06-18,
CU-S0004,20-06-18,
CU-S0004,21-06-18,
CU-S0004,22-06-18,
CU-S0004,23-06-18,
CU-S0004,24-06-18,
CU-S0004,25-06-18,
CU-S0004,26-06-18,
CU-S0004,27-06-18,
CU-S0004,28-06-18,
CU-S0004,29-06-18,
CU-S0004,30-06-18,
CU-S0004,01-07-18,
CU-S0004,02-07-18,
CU-S0004,03-07-18,
CU-S0004,04-07-18,
CU-S0004,05-07-18,
CU-S0004,06-07-18,
CU-S0004,07-07-18,
CU-S0004,08-07-18,
CU-S0004,09-07-18,
CU-S0004,10-07-18,
CU-S0004,11-07-18,
CU-S0004,12-07-18,
CU-S0004,13-07-18,
